Version Description,API number for each version,API_NAME,HEAD_FILE,OneUtopia1.0,OneUtopia1.1,OneUtopia1.2,OneUtopia1.3,OneUtopia1.4,OneUtopia1.5,OneUtopia1.6
,,MsOS_InfoSemaphore,MsOS.h,1,1,1,1,1,1,1
,,MsOS_CreateEventGroup,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DeleteEventGroup,MsOS.h,1,1,1,1,1,1,1
,,MsOS_SetEvent,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ClearEvent,MsOS.h,1,1,1,1,1,1,1
,,MsOS_WaitEvent,MsOS.h,1,1,1,1,1,1,1
,,MsOS_CreateTimer,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DeleteTimer,MsOS.h,1,1,1,1,1,1,1
,,MsOS_StartTimer,MsOS.h,1,1,1,1,1,1,1
,,MsOS_StopTimer,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ResetTimer,MsOS.h,1,1,1,1,1,1,1
,,MsOS_GetSystemTime,MsOS.h,1,1,1,1,1,1,1
,,MsOS_Timer_DiffTimeFromNow,MsOS.h,1,1,1,1,1,1,1
,,MsOS_Timer_DiffTime,MsOS.h,1,1,1,1,1,1,1
,,MsOS_CreateQueue,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DeleteQueue,MsOS.h,1,1,1,1,1,1,1
,,MsOS_SendToQueue,MsOS.h,1,1,1,1,1,1,1
,,MsOS_RecvFromQueue,MsOS.h,1,1,1,1,1,1,1
,,MsOS_PeekFromQueue,MsOS.h,0,1,1,1,1,1,1
,,MsOS_AttachInterrupt,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DetachInterrupt,MsOS.h,1,1,1,1,1,1,1
,,MsOS_EnableInterrupt,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DebugInterrupt,MsOS.h,0,1,1,1,1,1,1
,,MsOS_DisableInterrupt,MsOS.h,1,1,1,1,1,1,1
,,MsOS_CompleteInterrupt,MsOS.h,0,1,1,1,1,1,1
,,MsOS_In_Interrupt,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DisableAllInterrupts,MsOS.h,1,1,1,1,1,1,1
,,MsOS_RestoreAllInterrupts,MsOS.h,1,1,1,1,1,1,1
,,MsOS_EnableAllInterrupts,MsOS.h,0,1,1,1,1,1,1
,,MsOS_CPU_DisableInterrupt,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_EnableInterrupt,MsOS.h,0,0,0,0,0,0,1
,,MsOS_CPU_RestoreInterrupt,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_MaskAllInterrupt,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_MaskInterrupt,MsOS.h,0,0,0,0,0,0,1
,,MsOS_CPU_UnMaskInterrupt,MsOS.h,0,0,0,0,0,0,1
,,MsOS_CPU_LockInterrupt,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_UnLockInterrupt,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_AttachInterrupt,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_DetachInterrupt,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_AttachException,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_DetachExceptiont,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CPU_SetEBASE,MsOS.h,0,0,0,0,0,0,0
,,MsOS_Dcache_Flush,MsOS.h,1,1,1,1,1,1,1
,,MsOS_Dcache_Flush_All,MsOS.h,0,0,0,0,0,0,0
,,MsOS_Dcache_Invalidate,MsOS.h,0,1,1,1,1,1,1
,,MsOS_Dcache_Writeback,MsOS.h,0,0,0,0,0,0,0
,,MsOS_Sync,MsOS.h,1,1,1,1,1,1,1
,,MDrv_SYS_Info,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_SetDbgLevel,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_IsInitialized,MsOS.h,0,0,0,0,0,0,0
,,MsOS_MPool_Init,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ION_IsInitialized,MsOS.h,0,0,0,0,0,0,0
,,MsOS_ION_Init,MsOS.h,0,0,0,0,0,0,0
,,MsOS_MPool_Get,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_Close,MsOS.h,0,1,1,1,1,1,1
,,MsOS_MPool_InfoMsg,MsOS.h,0,0,0,0,0,0,0
,,MsOS_ION_Close,MsOS.h,0,0,0,0,0,0,0
,,MsOS_MPool_VA2PA,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_PA2KSEG1,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_PA2KSEG0,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_Dcache_Flush,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_Dcache_Flush_All,MsOS.h,0,1,1,1,1,1,1
,,MsOS_MPool_Mapping,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_UnMapping,MsOS.h,0,1,1,1,1,1,1
,,MsOS_MPool_Mapping_Dynamic,MsOS.h,1,1,1,1,1,1,1
,,MsOS_MPool_Kernel_Detect,MsOS.h,0,0,0,0,0,0,0
,,MsOS_MPool_SetWatchPT,MsOS.h,0,0,0,0,0,0,0
,,MsOS_MPool_GetWatchPT,MsOS.h,0,0,0,0,0,0,0
,,MsOS_ION_Mapping,MsOS.h,0,0,0,0,0,0,0
,,MsOS_Mapping_SharedMem,MsOS.h,0,0,0,0,0,0,0
,,MsOS_CreateNamedMutex,MsOS.h,1,1,1,1,1,1,1
,,MsOS_LockMutex,MsOS.h,1,1,1,1,1,1,1
,,MsOS_UnlockMutex,MsOS.h,1,1,1,1,1,1,1
,,MsOS_DeleteNamedMutexbyIndex,MsOS.h,0,0,0,0,0,0,0
,,MsOS_MPool_Add_PA2VARange,MsOS.h,0,0,0,0,0,0,0
,,MsOS_MPool_Remove_PA2VARange,MsOS.h,0,0,0,0,0,0,0
,,MsOS_SHM_Init,MsOS.h,1,1,1,1,1,1,1
,,MsOS_SHM_GetId,MsOS.h,0,1,1,1,1,1,1
,,MsOS_SHM_FreeId,MsOS.h,0,0,0,0,0,0,0
,,MsOS_VA2PA,MsOS.h,1,1,1,1,1,1,1
,,MsOS_PA2KSEG0,MsOS.h,1,1,1,1,1,1,1
,,MsOS_PA2KSEG1,MsOS.h,1,1,1,1,1,1,1
,,MsOS_PA2BA,MsOS.h,1,1,1,1,1,1,1
,,MsOS_BA2PA,MsOS.h,1,1,1,1,1,1,1
,,MsOS_FlushMemory,MsOS.h,1,1,1,1,1,1,1
,,MsOS_ReadMemory,MsOS.h,1,1,1,1,1,1,1
,,MsOS_GetKattribute,MsOS.h,0,0,0,0,0,0,0
,,MsOS_RegMyDbg,MsOS.h,0,0,0,0,0,0,0
,,MsOS_Dbg_ParseCmd,MsOS.h,0,0,0,0,0,0,0
,,MsOS_Dbg_Regist,MsOS.h,0,0,0,0,0,0,0
,,MsOS_Dbg_ExecuteSubCB,MsOS.h,0,0,0,0,0,0,0
,,MsFS_Init,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Mount,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Umount,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Open,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Unlink,MsFS.h,0,1,1,1,1,1,1
,,MsFS_MkDir,MsFS.h,0,0,0,0,0,0,0
,,MsFS_RmDir,MsFS.h,0,0,0,0,0,0,0
,,MsFS_ChDir,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Rename,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Link,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Stat,MsFS.h,0,0,0,0,0,0,0
,,MsFS_FStat,MsFS.h,0,0,0,0,0,0,0
,,MsFS_PathConf,MsFS.h,0,0,0,0,0,0,0
,,MsFS_FPathConf,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Access,MsFS.h,0,0,0,0,0,0,0
,,MsFS_GetCwd,MsFS.h,0,0,0,0,0,0,0
,,MsFS_OpenDir,MsFS.h,0,0,0,0,0,0,0
,,MsFS_ReadDir,MsFS.h,0,0,0,0,0,0,0
,,MsFS_RewindDir,MsFS.h,0,0,0,0,0,0,0
,,MsFS_CloseDir,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Read,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Write,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Close,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Lseek,MsFS.h,0,0,0,0,0,0,0
,,MsFS_FCntl,MsFS.h,0,0,0,0,0,0,0
,,MsFS_FSync,MsFS.h,0,0,0,0,0,0,0
,,MsFS_Sync,MsFS.h,1,1,1,1,1,1,1
,,MsFS_Fopen,MsFS.h,1,1,1,1,1,1,1
,,MsFS_Fclose,MsFS.h,1,1,1,1,1,1,1
,,MsFS_Fread,MsFS.h,1,1,1,1,1,1,1
,,MsFS_Fwrite,MsFS.h,1,1,1,1,1,1,1
,,MsFS_Fseek,MsFS.h,1,1,1,1,1,1,1
,,MsFS_Rewind,MsFS.h,1,1,1,1,1,1,1
,,MsFS_Ftell,MsFS.h,1,1,1,1,1,1,1
,,MsFS_Fflush,MsFS.h,1,1,1,1,1,1,1
,,MApi_FS_Info,MsFS.h,0,0,0,0,0,0,0
,,MApi_ACP_SetProtection,apiACP.h,0,1,1,1,1,1,1
,,MApi_DCS_SetProtection,apiACP.h,0,0,0,0,0,0,0
,,MApi_DCS_SetActivationKey,apiACP.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetPowerOn,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_Initialize,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetSystemInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_Audio_Monitor,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetOutConnectivity,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetPathInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetOutputInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetSourceInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_InputSwitch,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetDataCaptureSource,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetOutputSourceInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetOutputSourceInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_ReadMailBox,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_WriteMailBox,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_FwTriggerDSP,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetFwStatus,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_ExitAudioSystem,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_RebootDsp,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SendIntrupt,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_I2S_SetMode,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_WritePreInitTable,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_EnaEarphone_LowPower_Stage,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_EnaEarphone_HighDriving_Stage,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_SND_ProcessEnable,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_SND_SetParam1,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_SND_GetParam1,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SOUND_SetParam,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetAbsoluteVolume,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetPreScale,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetMute,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SourceConnect,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetBalance,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_EnableEQ,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_EnableTone,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_EnableAutoVolume,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_EnableSurround,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_EnableBalance,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetDynamicBass,apiAUDIO.h,0,0,1,1,1,1,1
,,MApi_AUDIO_SetBass,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_AbsoluteBass,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_SetTreble,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_AbsoluteTreble,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_SetEq,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetEq_7band,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetAvcThreshold,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetAvcMode,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetAvcAT,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetAvcRT,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetBufferProcess,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetSurroundXA,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetSurroundXB,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetSurroundXK,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetSurroundLPFGain,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_ConvertVolumeUnit,apiAUDIO.h,0,0,1,1,1,1,1
,,MApi_AUDIO_SetPEQCoef,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_EnablePEQ,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_EnableDcRemove,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_ReleaseDecodeSystem,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetDecodeSystem,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetDecodeSystem,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetDecodeCmd,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_OpenDecodeSystem,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetSystem,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetDecSysSupportStatus,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetH264StreamID_Mod,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_IsMadLock,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetDecStatus,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_GetCommand,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetCommand,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetMAD_LOCK,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetADOutputMode,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetADAbsoluteVolume,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_ADSetMute,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetEncInit,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetEncCommand,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_GetEncodeFrameInfo,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_GetEncodeDoneFlag,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_SIF_SetStandard,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_GetSoundMode,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_SetSoundMode,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_GetAudioStatus,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_StartAutoStandardDetection,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_GetResultOfAutoStandardDetection,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_ConvertToBasicAudioStandard,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_SetThreshold,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_SetPrescale,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_IsPALType,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_SetPALType,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_SendCmd,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SIF_Shift,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_FM_RADIO_GetSoundMode,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_FM_RADIO_SetSoundMode,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_FM_RADIO_DeEmphassisOption,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_FM_RADIO_GET_DC_AMP,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_FM_RADIO_GET_NSR,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_FM_RADIO_RESET,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SPDIF_HWEN,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SPDIF_SetMute,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SPDIF_SetMode,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SPDIF_GetMode,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SPDIF_SetSCMS,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SPDIF_GetSCMS,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SPDIF_SetOutputType,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_Audio_SPDIF_Monitor,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_Audio_Monitor_SPDIF_NONPCM_SmpRate,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SPDIF_ChannelStatus_CTRL,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_DigitalOut_SetChannelStatus,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_DigitalOut_SetDeviceCapability,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_Tx_SetMute,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_Tx_GetStatus,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_Monitor,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_HDMI_GetNonpcmFlag,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_SetNonpcm,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_RX_SetNonpcm,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_RX_GetNonPCM,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_DTV_HDMI_CFG,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_GetSynthFreq,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_SetDownSample,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_TX_SetMode,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_HDMI_RX_GetHdmiInAudioStatus,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_ADVSOUND_ProcessEnable,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_ADVSOUND_SubProcessEnable,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_ADVSOUND_SetParam,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_ADVSND_SetParam,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_ADVSOUND_GetInfo,apiAUDIO.h,0,0,1,1,1,1,1
,,MApi_DBXTV_SetMode,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SeInit,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetAdvSndSys,apiAUDIO.h,0,0,1,1,1,1,1
,,MApi_AUDIO_SetVDS,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetVSPK,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetSRS,apiAUDIO.h,0,0,1,1,1,1,1
,,MApi_AUDIO_SetBBE,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_VSPK_WMod,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_VSPK_SMod,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SRS_DC,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SRS_TruBass,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SRS_SetTsxtPara,apiAUDIO.h,0,0,1,1,1,1,1
,,MApi_AUDIO_SetSRSTSHD,apiAUDIO.h,0,0,1,1,1,1,1
,,Mapi_SOUND_TSHD_TruBass,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_TSHD_Definition,apiAUDIO.h,0,0,0,0,0,0,0
,,Mapi_SOUND_TSHD_Definition,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SRS_SetTshdPara,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_COPY_Parameter,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetKTVInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetKTVInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetMixModeVolume,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetMixModeMute,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_PlayMenuSound,apiAUDIO.h,0,0,1,1,1,1,1
,,MApi_AUDIO_SetCertMode,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_SetCommAudioInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetMpegInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetAC3Info,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetAC3PInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetAACInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetWmaInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_SetDTSCommonCtrl,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetCommAudioInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetMpegInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetAC3Info,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetAC3PInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetAACInfo,apiAUDIO.h,1,1,1,1,1,1,1
,,MApi_AUDIO_GetWmaInfo,apiAUDIO.h,0,0,1,1,1,1,1
,,MApi_AUDIO_GetDTSInfo,apiAUDIO.h,0,0,0,0,0,0,0
,,MApi_AUDIO_XPCM_Param,apiAUDIO.h,0,1,1,1,1,1,1
,,MApi_AUDIO_XPCM2_Param,apiAUDIO.h,0,1,1,1,1,1,1
